[2025-11-19 12:54:48.812] [INFO] [main] Application started
[2025-11-19 12:54:48.813] [DEBUG] [main] Debug information
[2025-11-19 12:54:48.813] [WARN] [main] Warning message
[2025-11-19 12:54:48.813] [ERROR] [main] Error occurred
[2025-11-19 12:54:49.973] [INFO] [main] Processing item 74
[2025-11-19 12:54:49.989] [INFO] [main] Processing item 75
[2025-11-19 12:54:50.005] [INFO] [main] Processing item 76
[2025-11-19 12:54:50.021] [INFO] [main] Processing item 77
[2025-11-19 12:54:50.037] [INFO] [main] Processing item 78
[2025-11-19 12:54:50.053] [INFO] [main] Processing item 79
[2025-11-19 12:54:50.068] [INFO] [main] Processing item 80
[2025-11-19 12:54:50.083] [INFO] [main] Processing item 81
[2025-11-19 12:54:50.099] [INFO] [main] Processing item 82
[2025-11-19 12:54:50.115] [INFO] [main] Processing item 83
[2025-11-19 12:54:50.130] [INFO] [main] Processing item 84
[2025-11-19 12:54:50.146] [INFO] [main] Processing item 85
[2025-11-19 12:54:50.161] [INFO] [main] Processing item 86
[2025-11-19 12:54:50.177] [INFO] [main] Processing item 87
[2025-11-19 12:54:50.193] [INFO] [main] Processing item 88
[2025-11-19 12:54:50.209] [INFO] [main] Processing item 89
[2025-11-19 12:54:50.224] [INFO] [main] Processing item 90
[2025-11-19 12:54:50.240] [INFO] [main] Processing item 91
[2025-11-19 12:54:50.256] [INFO] [main] Processing item 92
[2025-11-19 12:54:50.272] [INFO] [main] Processing item 93
[2025-11-19 12:54:50.287] [INFO] [main] Processing item 94
[2025-11-19 12:54:50.303] [INFO] [main] Processing item 95
[2025-11-19 12:54:50.319] [INFO] [main] Processing item 96
[2025-11-19 12:54:50.334] [INFO] [main] Processing item 97
[2025-11-19 12:54:50.350] [INFO] [main] Processing item 98
[2025-11-19 12:54:50.366] [INFO] [main] Processing item 99
[2025-11-19 12:54:50.380] [INFO] [main] Application finished successfully
[2025-11-19 19:28:11.036] [INFO] [main] Application started
[2025-11-19 19:28:11.036] [DEBUG] [main] Debug information
[2025-11-19 19:28:11.036] [WARN] [main] Warning message
[2025-11-19 19:28:11.036] [ERROR] [main] Error occurred
[2025-11-19 19:28:11.043] [INFO] [main] Processing item 0
[2025-11-19 19:28:11.063] [INFO] [main] Processing item 1
[2025-11-19 19:28:11.078] [INFO] [main] Processing item 2
[2025-11-19 19:28:11.094] [INFO] [main] Processing item 3
[2025-11-19 19:28:11.109] [INFO] [main] Processing item 4
[2025-11-19 19:28:11.124] [INFO] [main] Processing item 5
[2025-11-19 19:28:11.139] [INFO] [main] Processing item 6
[2025-11-19 19:28:11.154] [INFO] [main] Processing item 7
[2025-11-19 19:28:11.170] [INFO] [main] Processing item 8
[2025-11-19 19:28:11.186] [INFO] [main] Processing item 9
[2025-11-19 19:28:11.201] [INFO] [main] Processing item 10
[2025-11-19 19:28:11.216] [INFO] [main] Processing item 11
[2025-11-19 19:28:11.232] [INFO] [main] Processing item 12
[2025-11-19 19:28:11.248] [INFO] [main] Processing item 13
[2025-11-19 19:28:11.263] [INFO] [main] Processing item 14
[2025-11-19 19:28:11.279] [INFO] [main] Processing item 15
[2025-11-19 19:28:11.295] [INFO] [main] Processing item 16
[2025-11-19 19:28:11.310] [INFO] [main] Processing item 17
[2025-11-19 19:28:11.326] [INFO] [main] Processing item 18
[2025-11-19 19:28:11.341] [INFO] [main] Processing item 19
[2025-11-19 19:28:11.356] [INFO] [main] Processing item 20
[2025-11-19 19:28:11.372] [INFO] [main] Processing item 21
[2025-11-19 19:28:11.388] [INFO] [main] Processing item 22
[2025-11-19 19:28:11.403] [INFO] [main] Processing item 23
[2025-11-19 19:28:11.418] [INFO] [main] Processing item 24
[2025-11-19 19:28:11.434] [INFO] [main] Processing item 25
[2025-11-19 19:28:11.450] [INFO] [main] Processing item 26
[2025-11-19 19:28:11.465] [INFO] [main] Processing item 27
[2025-11-19 19:28:11.480] [INFO] [main] Processing item 28
[2025-11-19 19:28:11.491] [INFO] [main] Processing item 29
[2025-11-19 19:28:11.511] [INFO] [main] Processing item 30
[2025-11-19 19:28:11.527] [INFO] [main] Processing item 31
[2025-11-19 19:28:11.543] [INFO] [main] Processing item 32
[2025-11-19 19:28:11.558] [INFO] [main] Processing item 33
[2025-11-19 19:28:11.573] [INFO] [main] Processing item 34
[2025-11-19 19:28:11.589] [INFO] [main] Processing item 35
[2025-11-19 19:28:11.605] [INFO] [main] Processing item 36
[2025-11-19 19:28:11.622] [INFO] [main] Processing item 37
[2025-11-19 19:28:11.637] [INFO] [main] Processing item 38
[2025-11-19 19:28:11.653] [INFO] [main] Processing item 39
[2025-11-19 19:28:11.668] [INFO] [main] Processing item 40
[2025-11-19 19:28:11.683] [INFO] [main] Processing item 41
[2025-11-19 19:28:11.698] [INFO] [main] Processing item 42
[2025-11-19 19:28:11.714] [INFO] [main] Processing item 43
[2025-11-19 19:28:11.729] [INFO] [main] Processing item 44
[2025-11-19 19:28:11.746] [INFO] [main] Processing item 45
[2025-11-19 19:28:11.762] [INFO] [main] Processing item 46
[2025-11-19 19:28:11.778] [INFO] [main] Processing item 47
[2025-11-19 19:28:11.793] [INFO] [main] Processing item 48
[2025-11-19 19:28:11.808] [INFO] [main] Processing item 49
[2025-11-19 19:28:11.823] [INFO] [main] Processing item 50
[2025-11-19 19:28:11.839] [INFO] [main] Processing item 51
[2025-11-19 19:28:11.854] [INFO] [main] Processing item 52
[2025-11-19 19:28:11.870] [INFO] [main] Processing item 53
[2025-11-19 19:28:11.885] [INFO] [main] Processing item 54
[2025-11-19 19:28:11.900] [INFO] [main] Processing item 55
[2025-11-19 19:28:11.916] [INFO] [main] Processing item 56
[2025-11-19 19:28:11.931] [INFO] [main] Processing item 57
[2025-11-19 19:28:11.946] [INFO] [main] Processing item 58
[2025-11-19 19:28:11.962] [INFO] [main] Processing item 59
[2025-11-19 19:28:11.977] [INFO] [main] Processing item 60
[2025-11-19 19:28:11.993] [INFO] [main] Processing item 61
[2025-11-19 19:28:12.009] [INFO] [main] Processing item 62
[2025-11-19 19:28:12.025] [INFO] [main] Processing item 63
[2025-11-19 19:28:12.040] [INFO] [main] Processing item 64
[2025-11-19 19:28:12.055] [INFO] [main] Processing item 65
[2025-11-19 19:28:12.071] [INFO] [main] Processing item 66
[2025-11-19 19:28:12.086] [INFO] [main] Processing item 67
[2025-11-19 19:28:12.102] [INFO] [main] Processing item 68
[2025-11-19 19:28:12.117] [INFO] [main] Processing item 69
[2025-11-19 19:28:12.133] [INFO] [main] Processing item 70
[2025-11-19 19:28:12.149] [INFO] [main] Processing item 71
[2025-11-19 19:28:12.164] [INFO] [main] Processing item 72
[2025-11-19 19:28:12.180] [INFO] [main] Processing item 73
[2025-11-19 19:28:12.195] [INFO] [main] Processing item 74
[2025-11-19 19:28:12.211] [INFO] [main] Processing item 75
[2025-11-19 19:28:12.226] [INFO] [main] Processing item 76
[2025-11-19 19:28:12.243] [INFO] [main] Processing item 77
[2025-11-19 19:28:12.258] [INFO] [main] Processing item 78
[2025-11-19 19:28:12.274] [INFO] [main] Processing item 79
[2025-11-19 19:28:12.289] [INFO] [main] Processing item 80
[2025-11-19 19:28:12.305] [INFO] [main] Processing item 81
[2025-11-19 19:28:12.320] [INFO] [main] Processing item 82
[2025-11-19 19:28:12.336] [INFO] [main] Processing item 83
[2025-11-19 19:28:12.351] [INFO] [main] Processing item 84
[2025-11-19 19:28:12.366] [INFO] [main] Processing item 85
[2025-11-19 19:28:12.382] [INFO] [main] Processing item 86
[2025-11-19 19:28:12.397] [INFO] [main] Processing item 87
[2025-11-19 19:28:12.413] [INFO] [main] Processing item 88
[2025-11-19 19:28:12.428] [INFO] [main] Processing item 89
[2025-11-19 19:28:12.444] [INFO] [main] Processing item 90
[2025-11-19 19:28:12.460] [INFO] [main] Processing item 91
[2025-11-19 19:28:12.476] [INFO] [main] Processing item 92
[2025-11-19 19:28:12.491] [INFO] [main] Processing item 93
[2025-11-19 19:28:12.506] [INFO] [main] Processing item 94
[2025-11-19 19:28:12.522] [INFO] [main] Processing item 95
[2025-11-19 19:28:12.538] [INFO] [main] Processing item 96
[2025-11-19 19:28:12.552] [INFO] [main] Processing item 97
[2025-11-19 19:28:12.568] [INFO] [main] Processing item 98
[2025-11-19 19:28:12.584] [INFO] [main] Processing item 99
[2025-11-19 19:28:12.599] [INFO] [main] Application finished successfully
